,tweet,politican,party,retweet,tweet_web_r,ARI,DCR,TS,punct,token,lem_token
14,Strong Stock Market Numbers. You want to see them dive? Vote for the Radical Left with their BIG Tax Hikes!,Trump,R,False,Strong Stock Market Numbers. You want to see them dive? Vote for the Radical Left with their BIG Tax Hikes!,2.6,5.55,5.55,Strong Stock Market Numbers You want to see them dive Vote for the Radical Left with their BIG Tax Hikes,"['Strong', 'Stock', 'Market', 'Numbers', 'You', 'want', 'see', 'dive', 'Vote', 'Radical', 'Left', 'BIG', 'Tax', 'Hikes']","['Strong', 'Stock', 'Market', 'Numbers', 'You', 'want', 'see', 'dive', 'Vote', 'Radical', 'Left', 'BIG', 'Tax', 'Hikes']"
15,“In my view General Flynn should never have been prosecuted in the first place.” @Judgenap Judge Andrew Napolitano  @foxandfriends,Trump,R,False,“In my view General Flynn should never have been prosecuted in the first place.” @Judgenap Judge Andrew Napolitano  @foxandfriends,15.6,9.57,9.57,“In my view General Flynn should never have been prosecuted in the first place” Judgenap Judge Andrew Napolitano  foxandfriends,"['“', 'In', 'view', 'General', 'Flynn', 'never', 'prosecuted', 'first', 'place', '”', 'Judgenap', 'Judge', 'Andrew', 'Napolitano', 'foxandfriends']","['“', 'In', 'view', 'General', 'Flynn', 'never', 'prosecuted', 'first', 'place', '”', 'Judgenap', 'Judge', 'Andrew', 'Napolitano', 'foxandfriends']"
16,"You will never hear this on the Fake News concerning the China Virus, but by comparison to most other countries, wh… https://t.co/7DUmo0EGBL",Trump,R,False,"You will never hear this on the Fake News concerning the China Virus, but by comparison to most other countries, wh… ",10.6,6.93,6.93,You will never hear this on the Fake News concerning the China Virus but by comparison to most other countries wh… ,"['You', 'never', 'hear', 'Fake', 'News', 'concerning', 'China', 'Virus', 'comparison', 'countries', 'wh…']","['You', 'never', 'hear', 'Fake', 'News', 'concerning', 'China', 'Virus', 'comparison', 'country', 'wh…']"
17,Tremendous progress being made on Vaccines and Therapeutics!!!,Trump,R,False,Tremendous progress being made on Vaccines and Therapeutics!!!,15.0,9.95,9.95,Tremendous progress being made on Vaccines and Therapeutics,"['Tremendous', 'progress', 'made', 'Vaccines', 'Therapeutics']","['Tremendous', 'progress', 'made', 'Vaccines', 'Therapeutics']"
18,"Looking forward to live sports, but any time I witness a player kneeling during the National Anthem, a sign of grea… https://t.co/ld98zeAK3j",Trump,R,False,"Looking forward to live sports, but any time I witness a player kneeling during the National Anthem, a sign of grea… ",10.6,8.44,8.44,Looking forward to live sports but any time I witness a player kneeling during the National Anthem a sign of grea… ,"['Looking', 'forward', 'live', 'sports', 'time', 'I', 'witness', 'player', 'kneeling', 'National', 'Anthem', 'sign', 'grea…']","['Looking', 'forward', 'live', 'sport', 'time', 'I', 'witness', 'player', 'kneeling', 'National', 'Anthem', 'sign', 'grea…']"
19,Thank you for the good reviews and comments on my interview with Chris Wallace of @FoxNews. We may have set a recor… https://t.co/gJNbchHeS3,Trump,R,False,Thank you for the good reviews and comments on my interview with Chris Wallace of @FoxNews. We may have set a recor… ,4.4,7.05,7.05,Thank you for the good reviews and comments on my interview with Chris Wallace of FoxNews We may have set a recor… ,"['Thank', 'good', 'reviews', 'comments', 'interview', 'Chris', 'Wallace', 'FoxNews', 'We', 'may', 'set', 'recor…']","['Thank', 'good', 'review', 'comment', 'interview', 'Chris', 'Wallace', 'FoxNews', 'We', 'may', 'set', 'recor…']"
20,"We are United in our effort to defeat the Invisible China Virus, and many people say that it is Patriotic to wear a… https://t.co/zcdVQe2vRn",Trump,R,False,"We are United in our effort to defeat the Invisible China Virus, and many people say that it is Patriotic to wear a… ",9.3,6.84,6.84,We are United in our effort to defeat the Invisible China Virus and many people say that it is Patriotic to wear a… ,"['We', 'United', 'effort', 'defeat', 'Invisible', 'China', 'Virus', 'many', 'people', 'say', 'Patriotic', 'wear', 'a…']","['We', 'United', 'effort', 'defeat', 'Invisible', 'China', 'Virus', 'many', 'people', 'say', 'Patriotic', 'wear', 'a…']"
21,"Congratulations Allen, great job! https://t.co/jjeUk1SwGm",Trump,R,False,"Congratulations Allen, great job! ",15.9,7.78,7.78,Congratulations Allen great job ,"['Congratulations', 'Allen', 'great', 'job']","['Congratulations', 'Allen', 'great', 'job']"
22,"So we catch Obama &amp; Biden, not to even mention the rest of their crew, SPYING on my campaign, AND NOTHING HAPPENS?… https://t.co/zefK46dmz8",Trump,R,False,"So we catch Obama &amp; Biden, not to even mention the rest of their crew, SPYING on my campaign, AND NOTHING HAPPENS?… ",10.5,8.32,8.32,So we catch Obama amp Biden not to even mention the rest of their crew SPYING on my campaign AND NOTHING HAPPENS… ,"['So', 'catch', 'Obama', 'amp', 'Biden', 'even', 'mention', 'rest', 'crew', 'SPYING', 'campaign', 'AND', 'NOTHING', 'HAPPENS…']","['So', 'catch', 'Obama', 'amp', 'Biden', 'even', 'mention', 'rest', 'crew', 'SPYING', 'campaign', 'AND', 'NOTHING', 'HAPPENS…']"
23,"The Radical Left Democrats, who totally control Biden, will destroy our Country as we know it. Unimaginably bad thi… https://t.co/tkjXLN0CNn",Trump,R,False,"The Radical Left Democrats, who totally control Biden, will destroy our Country as we know it. Unimaginably bad thi… ",7.6,7.43,7.43,The Radical Left Democrats who totally control Biden will destroy our Country as we know it Unimaginably bad thi… ,"['The', 'Radical', 'Left', 'Democrats', 'totally', 'control', 'Biden', 'destroy', 'Country', 'know', 'Unimaginably', 'bad', 'thi…']","['The', 'Radical', 'Left', 'Democrats', 'totally', 'control', 'Biden', 'destroy', 'Country', 'know', 'Unimaginably', 'bad', 'thi…']"
24,"We are trying to help Portland, not hurt it. Their leadership has, for months, lost control of the anarchists and a… https://t.co/aGxYXgi0Rp",Trump,R,False,"We are trying to help Portland, not hurt it. Their leadership has, for months, lost control of the anarchists and a… ",5.3,7.92,7.92,We are trying to help Portland not hurt it Their leadership has for months lost control of the anarchists and a… ,"['We', 'trying', 'help', 'Portland', 'hurt', 'Their', 'leadership', 'months', 'lost', 'control', 'anarchists', 'a…']","['We', 'trying', 'help', 'Portland', 'hurt', 'Their', 'leadership', 'month', 'lost', 'control', 'anarchist', 'a…']"
25,MAKE AMERICA GREAT AGAIN!,Trump,R,False,MAKE AMERICA GREAT AGAIN!,6.5,0.2,0.2,MAKE AMERICA GREAT AGAIN,"['MAKE', 'AMERICA', 'GREAT', 'AGAIN']","['MAKE', 'AMERICA', 'GREAT', 'AGAIN']"
26,Saddened to hear the news of civil rights hero John Lewis passing. Melania and I send our prayers to he and his family.,Trump,R,False,Saddened to hear the news of civil rights hero John Lewis passing. Melania and I send our prayers to he and his family.,4.2,6.95,6.95,Saddened to hear the news of civil rights hero John Lewis passing Melania and I send our prayers to he and his family,"['Saddened', 'hear', 'news', 'civil', 'rights', 'hero', 'John', 'Lewis', 'passing', 'Melania', 'I', 'send', 'prayers', 'family']","['Saddened', 'hear', 'news', 'civil', 'right', 'hero', 'John', 'Lewis', 'passing', 'Melania', 'I', 'send', 'prayer', 'family']"
27,Great job Tammy! https://t.co/ZvJ8jlVCq3,Trump,R,False,Great job Tammy! ,2.1,9.05,9.05,Great job Tammy ,"['Great', 'job', 'Tammy']","['Great', 'job', 'Tammy']"
28,"Corrupt Joe Biden wants to defund our police. He may use different words, but when you look at his pact with Crazy… https://t.co/KrSgY0X107",Trump,R,False,"Corrupt Joe Biden wants to defund our police. He may use different words, but when you look at his pact with Crazy… ",4.2,5.62,5.62,Corrupt Joe Biden wants to defund our police He may use different words but when you look at his pact with Crazy… ,"['Corrupt', 'Joe', 'Biden', 'wants', 'defund', 'police', 'He', 'may', 'use', 'different', 'words', 'look', 'pact', 'Crazy…']","['Corrupt', 'Joe', 'Biden', 'want', 'defund', 'police', 'He', 'may', 'use', 'different', 'word', 'look', 'pact', 'Crazy…']"
29,"....Tax Returns. She’s a mess! Many books have been written about me, some good, some bad. Both happily and sadly,… https://t.co/oKjJDAusvR",Trump,R,False,"....Tax Returns. She’s a mess! Many books have been written about me, some good, some bad. Both happily and sadly,… ",4.5,5.55,5.55,Tax Returns She’s a mess Many books have been written about me some good some bad Both happily and sadly… ,"['Tax', 'Returns', 'She', '’', 'mess', 'Many', 'books', 'written', 'good', 'bad', 'Both', 'happily', 'sadly…']","['Tax', 'Returns', 'She', '’', 'mess', 'Many', 'book', 'written', 'good', 'bad', 'Both', 'happily', 'sadly…']"
30,"....will all end up going to the government anyway. Next up is Mary Trump, a seldom seen niece who knows little abo… https://t.co/G6YNUAcVAN",Trump,R,False,"....will all end up going to the government anyway. Next up is Mary Trump, a seldom seen niece who knows little abo… ",4.4,1.26,1.26,will all end up going to the government anyway Next up is Mary Trump a seldom seen niece who knows little abo… ,"['end', 'going', 'government', 'anyway', 'Next', 'Mary', 'Trump', 'seldom', 'seen', 'niece', 'knows', 'little', 'abo…']","['end', 'going', 'government', 'anyway', 'Next', 'Mary', 'Trump', 'seldom', 'seen', 'niece', 'know', 'little', 'abo…']"
31,"I am the ultimate member of The Book of the Month Club. First I have lowlife dummy John Bolton, a war mongering foo… https://t.co/llcpuv4wBV",Trump,R,False,"I am the ultimate member of The Book of the Month Club. First I have lowlife dummy John Bolton, a war mongering foo… ",3.6,6.27,6.27,I am the ultimate member of The Book of the Month Club First I have lowlife dummy John Bolton a war mongering foo… ,"['I', 'ultimate', 'member', 'The', 'Book', 'Month', 'Club', 'First', 'I', 'lowlife', 'dummy', 'John', 'Bolton', 'war', 'mongering', 'foo…']","['I', 'ultimate', 'member', 'The', 'Book', 'Month', 'Club', 'First', 'I', 'lowlife', 'dummy', 'John', 'Bolton', 'war', 'mongering', 'foo…']"
32,I am proud to announce $2 million for the @Sept11Memorial in NYC! This special site ensures that the memory of the… https://t.co/qOK6g0JwaH,Trump,R,False,I am proud to announce $2 million for the @Sept11Memorial in NYC! This special site ensures that the memory of the… ,5.1,7.92,7.92,I am proud to announce 2 million for the Sept11Memorial in NYC This special site ensures that the memory of the… ,"['I', 'proud', 'announce', '2', 'million', 'Sept11Memorial', 'NYC', 'This', 'special', 'site', 'ensures', 'memory', 'the…']","['I', 'proud', 'announce', '2', 'million', 'Sept11Memorial', 'NYC', 'This', 'special', 'site', 'ensures', 'memory', 'the…']"
33,"In addition to nearly $8 billion that Treasury provided tribal communities, @HUDgov is releasing an additional $25… https://t.co/kZcpO9UFua",Trump,R,False,"In addition to nearly $8 billion that Treasury provided tribal communities, @HUDgov is releasing an additional $25… ",14.5,12.84,12.84,In addition to nearly 8 billion that Treasury provided tribal communities HUDgov is releasing an additional 25… ,"['In', 'addition', 'nearly', '8', 'billion', 'Treasury', 'provided', 'tribal', 'communities', 'HUDgov', 'releasing', 'additional', '25…']","['In', 'addition', 'nearly', '8', 'billion', 'Treasury', 'provided', 'tribal', 'community', 'HUDgov', 'releasing', 'additional', '25…']"
34,THANK YOU to the 5 million members of the @NRA for once again entrusting me with your FULL &amp; COMPLETE ENDORSEMENT!… https://t.co/2HKALoi4Tf,Trump,R,False,THANK YOU to the 5 million members of the @NRA for once again entrusting me with your FULL &amp; COMPLETE ENDORSEMENT!… ,11.3,7.69,7.69,THANK YOU to the 5 million members of the NRA for once again entrusting me with your FULL amp COMPLETE ENDORSEMENT… ,"['THANK', 'YOU', '5', 'million', 'members', 'NRA', 'entrusting', 'FULL', 'amp', 'COMPLETE', 'ENDORSEMENT…']","['THANK', 'YOU', '5', 'million', 'member', 'NRA', 'entrusting', 'FULL', 'amp', 'COMPLETE', 'ENDORSEMENT…']"
35,"Another one of many Fake T.V. Ads, this one about the Tennessee Valley Authority, which for years has paid its top… https://t.co/xj0S6zflTS",Trump,R,False,"Another one of many Fake T.V. Ads, this one about the Tennessee Valley Authority, which for years has paid its top… ",5.1,5.66,5.66,Another one of many Fake TV Ads this one about the Tennessee Valley Authority which for years has paid its top… ,"['Another', 'one', 'many', 'Fake', 'TV', 'Ads', 'one', 'Tennessee', 'Valley', 'Authority', 'years', 'paid', 'top…']","['Another', 'one', 'many', 'Fake', 'TV', 'Ads', 'one', 'Tennessee', 'Valley', 'Authority', 'year', 'paid', 'top…']"
36,"THANK YOU @NAPOpolice and their 241,000 brave law enforcement members for a FULL &amp; COMPLETE ENDORSEMENT! I will ALW… https://t.co/AgSzGa89ko",Trump,R,False,"THANK YOU @NAPOpolice and their 241,000 brave law enforcement members for a FULL &amp; COMPLETE ENDORSEMENT! I will ALW… ",8.6,8.26,8.26,THANK YOU NAPOpolice and their 241000 brave law enforcement members for a FULL amp COMPLETE ENDORSEMENT I will ALW… ,"['THANK', 'YOU', 'NAPOpolice', '241000', 'brave', 'law', 'enforcement', 'members', 'FULL', 'amp', 'COMPLETE', 'ENDORSEMENT', 'I', 'ALW…']","['THANK', 'YOU', 'NAPOpolice', '241000', 'brave', 'law', 'enforcement', 'member', 'FULL', 'amp', 'COMPLETE', 'ENDORSEMENT', 'I', 'ALW…']"
37,"...be on the way, and Americans want safe streets and communities!",Trump,R,False,"...be on the way, and Americans want safe streets and communities!",8.0,7.05,7.05,be on the way and Americans want safe streets and communities,"['way', 'Americans', 'want', 'safe', 'streets', 'communities']","['way', 'Americans', 'want', 'safe', 'street', 'community']"
38,"...campaign. Both were heavily involved in our historic 2016 win, and I look forward to having a big and very impor… https://t.co/pmQxKsn1Ip",Trump,R,False,"...campaign. Both were heavily involved in our historic 2016 win, and I look forward to having a big and very impor… ",10.6,8.44,8.44,campaign Both were heavily involved in our historic 2016 win and I look forward to having a big and very impor… ,"['campaign', 'Both', 'heavily', 'involved', 'historic', '2016', 'win', 'I', 'look', 'forward', 'big', 'impor…']","['campaign', 'Both', 'heavily', 'involved', 'historic', '2016', 'win', 'I', 'look', 'forward', 'big', 'impor…']"
39,"I am pleased to announce that Bill Stepien has been promoted to the role of Trump Campaign Manager. Brad Parscale,… https://t.co/nzKtPmiX06",Trump,R,False,"I am pleased to announce that Bill Stepien has been promoted to the role of Trump Campaign Manager. Brad Parscale,… ",11.2,7.79,7.79,I am pleased to announce that Bill Stepien has been promoted to the role of Trump Campaign Manager Brad Parscale… ,"['I', 'pleased', 'announce', 'Bill', 'Stepien', 'promoted', 'role', 'Trump', 'Campaign', 'Manager', 'Brad', 'Parscale…']","['I', 'pleased', 'announce', 'Bill', 'Stepien', 'promoted', 'role', 'Trump', 'Campaign', 'Manager', 'Brad', 'Parscale…']"
40,سه نفر در ایران برای شرکت کردن در تظاهرات محکوم به مرگ شده اند. اعدام آنها در هر لحظه قابل انتظار است. اعدام این سه… https://t.co/CYcvIpSwZn,Trump,R,False,سه نفر در ایران برای شرکت کردن در تظاهرات محکوم به مرگ شده اند. اعدام آنها در هر لحظه قابل انتظار است. اعدام این سه… ,8.4,1.24,1.24,سه نفر در ایران برای شرکت کردن در تظاهرات محکوم به مرگ شده اند اعدام آنها در هر لحظه قابل انتظار است اعدام این سه… ,"['سه', 'نفر', 'در', 'ایران', 'برای', 'شرکت', 'کردن', 'در', 'تظاهرات', 'محکوم', 'به', 'مرگ', 'شده', 'اند', 'اعدام', 'آنها', 'در', 'هر', 'لحظه', 'قابل', 'انتظار', 'است', 'اعدام', 'این', 'سه…']","['سه', 'نفر', 'در', 'ایران', 'برای', 'شرکت', 'کردن', 'در', 'تظاهرات', 'محکوم', 'به', 'مرگ', 'شده', 'اند', 'اعدام', 'آنها', 'در', 'هر', 'لحظه', 'قابل', 'انتظار', 'است', 'اعدام', 'این', 'سه…']"
41,Three individuals were sentenced to death in Iran for participating in protests. The execution is expected momentar… https://t.co/azPxe2pOvu,Trump,R,False,Three individuals were sentenced to death in Iran for participating in protests. The execution is expected momentar… ,10.5,9.63,9.63,Three individuals were sentenced to death in Iran for participating in protests The execution is expected momentar… ,"['Three', 'individuals', 'sentenced', 'death', 'Iran', 'participating', 'protests', 'The', 'execution', 'expected', 'momentar…']","['Three', 'individual', 'sentenced', 'death', 'Iran', 'participating', 'protest', 'The', 'execution', 'expected', 'momentar…']"
42,"Joe Biden and the Radical Left want to Abolish Police, Abolish ICE, Abolish Bail, Abolish Suburbs, Abolish the 2nd… https://t.co/avbHfn4DNS",Trump,R,False,"Joe Biden and the Radical Left want to Abolish Police, Abolish ICE, Abolish Bail, Abolish Suburbs, Abolish the 2nd… ",12.1,7.07,7.07,Joe Biden and the Radical Left want to Abolish Police Abolish ICE Abolish Bail Abolish Suburbs Abolish the 2nd… ,"['Joe', 'Biden', 'Radical', 'Left', 'want', 'Abolish', 'Police', 'Abolish', 'ICE', 'Abolish', 'Bail', 'Abolish', 'Suburbs', 'Abolish', '2nd…']","['Joe', 'Biden', 'Radical', 'Left', 'want', 'Abolish', 'Police', 'Abolish', 'ICE', 'Abolish', 'Bail', 'Abolish', 'Suburbs', 'Abolish', '2nd…']"
43,"The Biden-Sanders unity plan takes a sledgehammer to charter schools, punishing students for their zip codes. No on… https://t.co/JeEDGRfg8Z",Trump,R,False,"The Biden-Sanders unity plan takes a sledgehammer to charter schools, punishing students for their zip codes. No on… ",13.5,8.92,8.92,The BidenSanders unity plan takes a sledgehammer to charter schools punishing students for their zip codes No on… ,"['The', 'BidenSanders', 'unity', 'plan', 'takes', 'sledgehammer', 'charter', 'schools', 'punishing', 'students', 'zip', 'codes', 'No', 'on…']","['The', 'BidenSanders', 'unity', 'plan', 'take', 'sledgehammer', 'charter', 'school', 'punishing', 'student', 'zip', 'code', 'No', 'on…']"
44,Wow. The @nytimes is under siege. The real reason is that it has become Fake News. They never covered me correctly… https://t.co/PVhTb2qXZa,Trump,R,False,Wow. The @nytimes is under siege. The real reason is that it has become Fake News. They never covered me correctly… ,3.4,6.24,6.24,Wow The nytimes is under siege The real reason is that it has become Fake News They never covered me correctly… ,"['Wow', 'The', 'nytimes', 'siege', 'The', 'real', 'reason', 'become', 'Fake', 'News', 'They', 'never', 'covered', 'correctly…']","['Wow', 'The', 'nytimes', 'siege', 'The', 'real', 'reason', 'become', 'Fake', 'News', 'They', 'never', 'covered', 'correctly…']"
45,Great News on Vaccines!,Trump,R,False,Great News on Vaccines!,4.1,7.78,7.78,Great News on Vaccines,"['Great', 'News', 'Vaccines']","['Great', 'News', 'Vaccines']"
46,96% Approval Rating of President Trump in the Republican Party. Thank you!,Trump,R,False,96% Approval Rating of President Trump in the Republican Party. Thank you!,9.3,9.5,9.5,96 Approval Rating of President Trump in the Republican Party Thank you,"['96', 'Approval', 'Rating', 'President', 'Trump', 'Republican', 'Party', 'Thank']","['96', 'Approval', 'Rating', 'President', 'Trump', 'Republican', 'Party', 'Thank']"
47,"88 and 2 (really 1) in ENDORSEMENTS this election cycle, and @FoxNews was critical. Has anyone ever done so well? I… https://t.co/c1TgKGdkbC",Trump,R,False,"88 and 2 (really 1) in ENDORSEMENTS this election cycle, and @FoxNews was critical. Has anyone ever done so well? I… ",5.3,7.16,7.16,88 and 2 really 1 in ENDORSEMENTS this election cycle and FoxNews was critical Has anyone ever done so well I… ,"['88', '2', 'really', '1', 'ENDORSEMENTS', 'election', 'cycle', 'FoxNews', 'critical', 'Has', 'anyone', 'ever', 'done', 'well', 'I…']","['88', '2', 'really', '1', 'ENDORSEMENTS', 'election', 'cycle', 'FoxNews', 'critical', 'Has', 'anyone', 'ever', 'done', 'well', 'I…']"
48,".@GoyaFoods is doing GREAT. The Radical Left smear machine backfired, people are buying like crazy!",Trump,R,False,".@GoyaFoods is doing GREAT. The Radical Left smear machine backfired, people are buying like crazy!",9.0,9.27,9.27,GoyaFoods is doing GREAT The Radical Left smear machine backfired people are buying like crazy,"['GoyaFoods', 'GREAT', 'The', 'Radical', 'Left', 'smear', 'machine', 'backfired', 'people', 'buying', 'like', 'crazy']","['GoyaFoods', 'GREAT', 'The', 'Radical', 'Left', 'smear', 'machine', 'backfired', 'people', 'buying', 'like', 'crazy']"
49,Donald Trump’s own staff admits that he fails the most important test of being the American President: the duty to… https://t.co/mPhNv0y0P0,Biden,D,False,Donald Trump’s own staff admits that he fails the most important test of being the American President: the duty to… ,11.2,7.0,7.0,Donald Trump’s own staff admits that he fails the most important test of being the American President the duty to… ,"['Donald', 'Trump', '’', 'staff', 'admits', 'fails', 'important', 'test', 'American', 'President', 'duty', 'to…']","['Donald', 'Trump', '’', 'staff', 'admits', 'fails', 'important', 'test', 'American', 'President', 'duty', 'to…']"
50,We need a president who listens to someone other than himself.,Biden,D,False,We need a president who listens to someone other than himself.,6.3,7.05,7.05,We need a president who listens to someone other than himself,"['We', 'need', 'president', 'listens', 'someone']","['We', 'need', 'president', 'listens', 'someone']"
51,This was preventable. https://t.co/NWaHXW8U4K,Biden,D,False,This was preventable. ,9.9,9.05,9.05,This was preventable ,"['This', 'preventable']","['This', 'preventable']"
